id,voxel,cls,choice,correct
23,0.05,bottle,bottle,1
23,0.1,table,table,1
23,0.05,stool,stool,1
23,0.2,bowl,bowl,1
23,0.2,piano,piano,1
23,0.2,cup,table,0
23,0.2,airplane,airplane,1
23,0.1,lamp,lamp,1
23,0.01,bowl,bowl,1
23,0.05,cup,cup,1
23,0.2,chair,chair,1
23,0.01,lamp,lamp,1
23,0.1,person,person,1
24,0.1,person,airplane,0
24,0.01,chair,chair,1
24,0.1,cup,cup,1
24,0.05,person,person,1
24,0.1,lamp,lamp,1
24,0.1,table,table,1
24,0.05,chair,chair,1
24,0.2,cup,cup,1
24,0.2,table,table,1
24,0.2,bowl,bowl,1
24,0.05,piano,piano,1
24,0.2,chair,chair,1
24,0.1,bowl,bowl,1
24,0.01,cup,cup,1
24,0.2,stool,chair,0
24,0.05,stool,stool,1
24,0.01,lamp,lamp,1
24,0.2,person,chair,0
24,0.1,bottle,bottle,1
24,0.05,lamp,lamp,1
24,0.01,table,table,1
24,0.01,person,person,1
24,0.01,bottle,bottle,1
24,0.05,bowl,bowl,1
24,0.1,stool,chair,0
24,0.2,lamp,lamp,1
24,0.1,chair,chair,1
24,0.01,bowl,cup,0
24,0.01,piano,piano,1
24,0.01,airplane,airplane,1
24,0.01,stool,stool,1
24,0.1,piano,piano,1
24,0.2,piano,piano,1
24,0.1,airplane,airplane,1
24,0.05,cup,cup,1
24,0.05,airplane,airplane,1
24,0.05,bottle,bottle,1
24,0.2,airplane,table,0
24,0.2,bottle,bottle,1
24,0.05,table,piano,0
25,0.05,stool,chair,0
25,0.2,bottle,bottle,1
25,0.01,stool,chair,0
25,0.1,table,table,1
25,0.2,stool,lamp,0
25,0.1,piano,piano,1
25,0.05,lamp,lamp,1
25,0.01,bowl,bowl,1
25,0.1,cup,chair,0
25,0.2,table,table,1
25,0.05,cup,bowl,0
25,0.01,cup,cup,1
25,0.05,chair,chair,1
25,0.1,stool,lamp,0
25,0.2,person,person,1
25,0.05,airplane,airplane,1
25,0.1,lamp,lamp,1
25,0.01,lamp,lamp,1
25,0.01,piano,piano,1
25,0.01,airplane,airplane,1
25,0.2,chair,chair,1
25,0.01,person,person,1
25,0.01,chair,chair,1
25,0.2,bowl,bowl,1
25,0.2,cup,bottle,0
25,0.01,table,table,1
25,0.05,bottle,bottle,1
25,0.05,table,table,1
25,0.1,person,person,1
25,0.1,bowl,chair,0
25,0.2,airplane,table,0
25,0.1,chair,chair,1
25,0.1,airplane,airplane,1
25,0.05,piano,piano,1
25,0.2,piano,piano,1
25,0.05,bowl,bowl,1
25,0.05,person,person,1
25,0.1,bottle,bottle,1
25,0.2,lamp,lamp,1
25,0.01,bottle,bottle,1
26,0.05,chair,chair,1
26,0.2,cup,lamp,0
26,0.1,chair,chair,1
26,0.1,person,person,1
26,0.2,bottle,bottle,1
26,0.2,chair,chair,1
26,0.05,table,table,1
26,0.05,piano,chair,0
26,0.01,cup,bottle,0
26,0.1,stool,chair,0
26,0.1,piano,piano,1
26,0.1,lamp,lamp,1
26,0.1,cup,cup,1
26,0.01,piano,piano,1
26,0.01,stool,stool,1
26,0.2,piano,piano,1
26,0.05,cup,cup,1
26,0.2,person,chair,0
26,0.05,bottle,bottle,1
26,0.01,bowl,bowl,1
26,0.1,airplane,airplane,1
26,0.05,bowl,bowl,1
26,0.01,table,chair,0
26,0.1,bottle,bottle,1
26,0.05,person,person,1
26,0.1,table,chair,0
26,0.05,airplane,airplane,1
26,0.01,bottle,bottle,1
26,0.05,lamp,lamp,1
26,0.2,lamp,lamp,1
26,0.01,lamp,lamp,1
26,0.2,table,table,1
26,0.1,bowl,bowl,1
26,0.2,bowl,bowl,1
26,0.01,chair,chair,1
26,0.2,airplane,airplane,1
26,0.01,airplane,airplane,1
26,0.05,stool,stool,1
26,0.01,person,person,1
26,0.2,stool,chair,0
27,0.1,person,person,1
27,0.05,airplane,person,0
27,0.01,piano,piano,1
27,0.1,airplane,airplane,1
27,0.01,airplane,airplane,1
27,0.01,bowl,bowl,1
27,0.01,chair,chair,1
27,0.05,lamp,lamp,1
27,0.2,chair,chair,1
27,0.2,person,person,1
27,0.1,chair,chair,1
27,0.1,lamp,stool,0
27,0.05,bowl,bowl,1
27,0.05,chair,chair,1
27,0.2,stool,person,0
27,0.1,stool,stool,1
27,0.2,lamp,lamp,1
27,0.05,stool,stool,1
27,0.05,person,person,1
27,0.01,stool,stool,1
27,0.1,bowl,bowl,1
27,0.2,bottle,bottle,1
27,0.01,table,table,1
27,0.05,table,table,1
27,0.1,piano,piano,1
27,0.05,piano,piano,1
27,0.2,piano,chair,0
27,0.01,bottle,bottle,1
27,0.1,cup,stool,0
27,0.01,cup,cup,1
27,0.2,bowl,chair,0
27,0.2,table,table,1
27,0.1,table,table,1
27,0.05,cup,cup,1
27,0.01,lamp,lamp,1
27,0.2,cup,cup,1
27,0.2,airplane,airplane,1
27,0.05,bottle,bottle,1
27,0.01,person,person,1
27,0.1,bottle,bottle,1
28,0.1,lamp,lamp,1
28,0.2,cup,table,0
28,0.2,stool,stool,1
28,0.1,piano,piano,1
28,0.1,person,person,1
28,0.01,bowl,bowl,1
28,0.1,table,table,1
